verse_text,matching_words,match,version,verse_id,doc_id,tokens,tfidf,proportion,runs_pval,corpus
"Nevertheless, they did find a land which had been peopled; yea, a land which was covered with dry bones; yea, a land which had been peopled and which had been destroyed; and they, having supposed it to be the land of Zarahemla, returned to the land of Nephi, having arrived in the borders of the land not many days before the coming of Ammon.",days returned days supposed many returned destroyed,,,Mosiah 21:26,5AHS-1893-MAY03-005-001,3,0.049,0.007,0,ncnp
Are all apostles? Are all prophets? Are all doctors?,,,,1 Corinthians 12:29 (Douay-Rheims),5KUM-1880-NOV24-006-003,3,1.01,0.125,0.689,ncnp
"Wherefore of these men who have companied with us all the time that the Lord Jesus came in and went out among us,",men men men men,,,Acts 1:21 (Douay-Rheims),5DWR-1896-JUL29-004-014,3,0.258,0.028,0,ncnp
"And return to thee with all their heart, and all their soul, in the land of their enemies, to which they had been led captives: and pray to thee towards the way of their land, which thou gavest to their fathers, and of the city which thou hast chosen, and of the temple which I have built to thy name:",city city city city city city city city city city city city city city city city city city pray land heart city city land land heart heart soul land heart name name return led city towards towards return way heart city soul city city city heart heart city city city return thou towards thy city fathers city led city name name land way land land land heart land led heart heart land heart name name fathers,,,1 Kings 8:48 (Douay-Rheims),5DXC-1868-APR16-001-002,3,0.062,0.009,0,ncnp
"And thou art like unto our father, led away by the foolish imaginations of his heart; yea, he hath led us out of the land of Jerusalem, and we have wandered in the wilderness for these many years; and our women have toiled, being big with child; and they have borne children in the wilderness and suffered all things, save it were death; and it would have been better that they had died before they came out of Jerusalem than to have suffered these afflictions.",big away like away suffered,,,1 Nephi 17:20,5DMF-1856-OCT18-002-005,3,0.044,0.005,0.252,ncnp
"And thus they did encamp for the night. For behold, the Nephites and the Lamanites also were weary because of the greatness of the march; therefore they did not resolve upon any stratagem in the night-time, save it were Teancum; for he was exceedingly angry with Ammoron, insomuch that he considered that Ammoron, and Amalickiah his brother, had been the cause of this great and lasting war between them and the Lamanites, which had been the cause of so much war and bloodshed, yea, and so much famine.",considered time upon much time considered therefore therefore time upon much upon upon much cause thus time upon night time time much therefore considered great upon much also much therefore time upon therefore upon upon time time much therefore upon time war also considered therefore time also time much cause war upon time war time time also time great also,,,Alma 62:35,5DXC-1826-MAY12-002-010,3,0.036,0.005,0,ncnp
"And now, I say unto you, my brethren, that after ye have known and have been taught all these things, if ye should transgress and go contrary to that which has been spoken, that ye do withdraw yourselves from the Spirit of the Lord, that it may have no place in you to guide you in wisdom's paths that ye may be blessed, prospered, and preserved--",now go say may taught taught now now may may may now known may,,,Mosiah 2:36,5DYJ-1831-SEP21-004-002,3,0.062,0.007,0,ncnp
"Therefore thou art condemned to die, according to the law which has been given us by Mosiah, our last king; and it has been acknowledged by this people; therefore this people must abide by the law.",law therefore law people people people people law law law people people law law law therefore people people people law people according people people people law law law people us us last people us people die thou therefore us people last law people people people law law law,,,Alma 1:14,5DMO-1866-SEP20-002-002,3,0.116,0.012,0.004,ncnp
"And he measured the length of the building before the separate place which was at the back thereof, and the galleries thereof on the one side and on the other side, a hundred cubits. Now the temple, and the inner place, and the porches of the court,",hundred place place one place now one court now back one now length now now place one court court place one place now place now one one side side court now building court one now one now one place one now now,,,Ezekiel 41:15 (JPS 1917),5AHS-1877-AUG11-005-001,3,0.113,0.014,0.007,ncnp
"But he forsook the counsel of the ancients, end began to treat with the young men, that had been brought up with him, and were in his train.",began treat,,,2 Chronicles 10:8 (Douay-Rheims),5DME-1821-DEC26-001-003,3,0.243,0.023,0.407,ncnp
"And the city shall have suburbs: toward the north two hundred and fifty, and toward the south two hundred and fifty, and toward the east two hundred and fifty, and toward the west two hundred and fifty.",fifty north south east west north toward south,,,Ezekiel 48:17 (ASV),5DXC-1851-OCT11-003-010,3,0.304,0.031,0.001,ncnp
"And in one place they were heard to cry, saying: O that we had repented before this great and terrible day, and then would our brethren have been spared, and they would not have been burned in that great city Zarahemla.",great heard day one one one day day o day day great great great great place great great one day saying o one one one one o o one one one,,,3 Nephi 8:24,5AJQ-1895-MAY21-001-011,3,0.088,0.01,0,ncnp
"But if ye keep the commandments of God, and do with these things which are sacred according to that which the Lord doth command you, (for you must appeal unto the Lord for all things whatsoever ye must do with them) behold, no power of earth or hell can take them from you, for God is powerful to the fulfilling of all his words.",power earth can power earth can,,,Alma 37:16,5DWR-1876-DEC30-002-013,3,0.085,0.008,0,ncnp
"But if what I would not, that I do, it is no more I that do it, but sin which dwelleth in me.",,,,Romans 7:20 (ASV),5GCE-1856-FEB26-002-002,3,0.501,0.05,0,ncnp
"And when we cried unto the LORD God of our fathers, the LORD heard our voice, and looked on our affliction, and our labour, and our oppression:",god heard fathers unto,,,Deuteronomy 26:7 (KJV),5FGY-1854-JAN07-004-006,3,0.131,0.017,0.603,ncnp
"So that they are no more two, but one flesh. What therefore God hath joined together, let not man put asunder.",one one one one one one two one one one two one one one one one one one one two one one one one one one one one one two one one one one one one two one one one one one two one one one one one one two one one one one one one one two one one one one one one one one one two one one one two one one one two one one one two one one one two one two one one one one one one one one one one one one one one one one one one one one one one one one one two one one one one two one one one one one one one two one one one one one one two one two one two two one together two one two one one two one together two one one one two two two one two one one one one one one one man two let one two let together let together two two let one one man one one one one one one one one one one two two one one man one one one one two one one one man one one one two two two two together man two together one one man let one together man man together man one man man one two one one one two one man man one man one two two together one one one two one one one one one man two one one one two one two one man one two one one one two together two one one one one one one one two two one two man two two together one one one two one one two one together man one one one one one one one one one one one one one one one one one one one one one one one one one one one one two two one one one one two one two one one two one one one one two together two one one one two one two one one two one one one one two two two two one one one one together together one one man one two one two one two two two one two one one one two together two one two two one one one one one one one one one two one one one two one two one one one together two two two together one one one two one two two one one one two one one two one one two one one two two one one two one one one two one two one one one one one one one one one one one one one one one one one two two together two two two two one together together two one one two one one two two one two one one one one two two together one one one one together together together two two one two one one one one one let one one two one one two one one one one one two one man two two two one one one one one one one one one one one two one one one one one one one one one one one one two one one one one one one two one one one put two one one one one man one one one one one one two one one two one one two one two one one one two two two two two one one one one one put one two one two one one one one one two one two one two one one one one one one one two one two one one one one two one one one one one one one one one one one one put put two two two one one two one one one two one one one one one one two two one one one two two one one one two one one one two two one one one one one one one two one one one one two one one one one one one one one one one one two two two one two two one one one one one one two two one one one one one two one two one one one one one one two one one two two one one one one one one one one one two two together one two one one one one one one together one one two one one one one one two together two one two one two two one two one one one one one one two two one two two one one one one two one one one two two one one one one one one two two joined one one one one one one one one one one one one one one one one two one two one one one one one one one one two one one one two one one two one one one one one one one one one one one one one one one one one one one one one one one one together together one one one one one joined two one one two one one one one one one one one one one two one one one one two two one one one one one one one one one one one one two two one one one one one one one one one one one two two two one one one two two let one one one one two two two one two two two one one two one one one one one one one one one one one two two one one two one one one two one one one one one two one one one one one together two one one one one let two one one one one two two two one two together one one one one one one one one one two two one two two one one one one man one one one one one one one one one one one man one man one two two one two one one together one one man one one together one one one two one one man one one one one two one one one together one,,,Matthew 19:6 (ASV),5EAS-1889-MAY07-005-001,3,0.226,0.023,0.987,ncnp
"Nevertheless, they did find a land which had been peopled; yea, a land which was covered with dry bones; yea, a land which had been peopled and which had been destroyed; and they, having supposed it to be the land of Zarahemla, returned to the land of Nephi, having arrived in the borders of the land not many days before the coming of Ammon.",find,,,Mosiah 21:26,5AKJ-1891-NOV21-005-030,3,0.049,0.007,0,ncnp
And verily mine eyes are upon those who have not as yet gone up unto the land of Zion; wherefore your mission is not yet full.,yet upon land land upon upon upon upon,,,Doctrine and Covenants 62:2,5DME-1843-APR27-004-001,3,0.125,0.016,0,ncnp
"For I would have you know how greatly I strive for you, and for them at Laodicea, and for as many as have not seen my face in the flesh;",know know know know many know many know,,,Colossians 2:1 (RV),5FHE-1896-MAY20-002-008,3,0.26,0.025,0.775,ncnp
"Are not Abana and Pharpar, rivers of Damascus, better than all the waters of Israel? may I not wash in them, and be clean? So he turned and went away in a rage.",may may away may may,,,2 Kings 5:12 (KJV),5AKF-1887-MAY05-004-005,3,0.15,0.016,0.163,ncnp
"Thou therefore which teachest another, teachest thou not thyself? thou that preachest a man should not steal, dost thou steal?",another therefore another man man therefore thou man man man thou steal thou thou thou man man man,,,Romans 2:21 (KJV),sn83045462/1909-06-27/ed-1/seq-21/,3,0.144,0.018,0.039,chronam
"And say: If we had been in the days of our Fathers, we would not have been partakers with them in the blood of the prophets.",days say say say say say say say say say say say say fathers fathers,,,Matthew 23:30 (Douay-Rheims),sn85034375/1882-02-25/ed-1/seq-4/,3,0.183,0.021,0,chronam
"And he went on his journeys from the south even to Bethel, unto the place where his tent had been at the beginning, between Bethel and Hai;",went went went went south went went went went went went went went went went went went went went went went went went went went even went went south went south went south went even went,,,Genesis 13:3 (KJV),sn87057096/1909-10-07/ed-1/seq-4/,3,0.213,0.023,0,chronam
"Therefore, as I said unto you, ask and ye shall receive; pray earnestly that peradventure my servant Joseph Smith, Jun., may go with you, and preside in the midst of my people, and organize my kingdom upon the consecrated land, and establish the children of Zion upon the laws and commandments which have been and which shall be given unto you.",upon may receive joseph smith may given smith may jun jun upon may upon go smith children ye land land land land land land land given land may children may land said children land land upon given said may may land land said may may said joseph said said said said said said said said may shall joseph shall land said said said land land may land said land given receive given shall shall shall shall may laws may go may laws may smith,,,Doctrine and Covenants 103:35,sn84024735/1859-09-02/ed-1/seq-1/,3,0.07,0.008,0.045,chronam
"And we have sent with them our brother, whom we have oftentimes proved diligent in many things, but now much more diligent, upon the great confidence which I have in you.",sent now sent great now many great great sent now upon many much sent sent now many many sent sent sent sent now sent great now now,,,2 Corinthians 8:22 (KJV),sn83016107/1895-01-11/ed-1/seq-4/,3,0.113,0.013,0,chronam
"from thirty years old and upward even unto fifty years old, every one that entered upon the service, for work in the tent of meeting,",work every work years one thirty years every years old years one years service upon years one one old thirty one thirty years years one one work one every work one work years old every one years work upon one one even one one one upon thirty years work old years old fifty years old every work old one old old old unto one even upon one,,,Numbers 4:43 (ASV),sn85025431/1882-03-08/ed-1/seq-1/,3,0.209,0.023,0,chronam
"And the days in which we came from Kadesh-barnea, until we were come over the brook Zered, were thirty and eight years; until all the generation of the men of war were consumed from the midst of the camp, as the LORD sware unto them.",war eight war war camp war men men years eight years war men war men men days men men years men men men come men men men men men men men men men men men men men men men men men men men men men men men come men men men men men men eight men men war camp days war war war men men war come men years,,,Deuteronomy 2:14 (RV),sn85034076/1876-11-02/ed-1/seq-2/,3,0.099,0.01,0.041,chronam
"And went round the land of Edom at the side, and the land of Moab: and came over against the east coast of the land of Moab, and camped on the other side of the Arnon: and he would not enter the bounds of Moab.",coast went land land came side side land side side side land went came east coast coast coast land round enter east side east side,,,Judges 11:18 (Douay-Rheims),sn83045160/1878-05-21/ed-1/seq-1/,3,0.149,0.013,0,chronam
"And now, beloved, marvel not that I tell you these things; for why not speak of the atonement of Christ, and attain to a perfect knowledge of him, as to attain to the knowledge of a resurrection and the world to come?",world things knowledge tell things come tell now now now world come world knowledge now knowledge world speak tell tell world now now now now,,,Jacob 4:12,sn84022650/1897-02-19/ed-1/seq-4/,3,0.177,0.016,0.161,chronam
"Who ought to have been here before thee, and object, if they had ought against me.",,,,Acts 24:19 (KJV),sn86092557/1908-10-29/ed-1/seq-2/,3,0.233,0.028,0,chronam
"But of the fruit of the tree which is in the midst of paradise, God hath commanded us that we should not eat; and that we should not touch it, lest perhaps we die.",us eat us die fruit,,,Genesis 3:3 (Douay-Rheims),sn90061309/1919-02-14/ed-1/seq-2/,3,0.148,0.016,0.072,chronam
"All thine enemies have opened their mouth wide against thee; they hiss and gnash the teeth; they say, We have swallowed her up; certainly this is the day that we looked for; we have found, we have seen it.",wide day day day day day day day say say say say,,,Lamentations 2:16 (RV),sn85042405/1905-03-23/ed-1/seq-7/,3,0.096,0.011,0,chronam
"And they called Rebekah, and said unto her, Wilt thou go with this man? And she said, I will go.",called called said said man go go man go go said go man man man man man said unto thou man man thou go,,,Genesis 24:58 (KJV),sn82015015/1838-09-05/ed-1/seq-3/,3,0.377,0.042,0,chronam
"Asher drave not out the inhabitants of Acco, nor the inhabitants of Zidon, nor of Ahlab, nor of Achzib, nor of Helbah, nor of Aphik, nor of Rehob:",,,,Judges 1:31 (RV),sn99061556/1902-06-24/ed-1/seq-6/,3,0.131,0.017,0.515,chronam
"And now behold, if it were possible that our first parents could have gone forth and partaken of the tree of life they would have been forever miserable, having no preparatory state; and thus the plan of redemption would have been frustrated, and the word of God would have been void, taking none effect.",first first now first plan now now thus now state state now state now state now state forth life god none now first now first first now state life first life first first,,,Alma 12:26,sn83030214/1887-08-22/ed-1/seq-5/,3,0.059,0.007,0.032,chronam
"There was therefore great joy in that city. Now there was a certain man named Simon, who before had been a magician in that city, seducing the people of Samaria, giving out that he was some great one:",great man man giving one one one one great man one great people one people people great giving people great one man man man great great one one now one certain one man now therefore one one one one one,,,Acts 8:9 (Douay-Rheims),sn91068476/1918-10-11/ed-1/seq-6/,3,0.101,0.013,0,chronam
"Now therefore, our God, the great, the mighty, and the terrible God, who keepest covenant and mercy, let not all the trouble seem little before thee, that hath come upon us, on our kings, on our princes, and on our priests, and on our prophets, and on our fathers, and on all thy people, since the time of the kings of Assyria unto this day.",mercy day now upon now therefore upon time time now great time us us time,,,Nehemiah 9:32 (KJV),sn85058397/1911-01-20/ed-1/seq-2/,3,0.052,0.007,0.832,chronam
"Because they understood the words wherein they were instructed, and for the which they had been assembled. .",words words,,,1 Esdras 9:55 (KJV),sn85029677/1884-02-07/ed-1/seq-3/,3,0.301,0.042,0,chronam
"I have overthrown some of you, As God overthrew Sodom and Gomorrah, And ye were as a brand plucked out of the burning; Yet have ye not returned unto Me, Saith the LORD.",burning yet yet yet,,,Amos 4:11 (JPS 1917),sn90060625/1897-02-27/ed-1/seq-1/,3,0.132,0.014,0.548,chronam
"When I was gone up into the mount to receive the tables of stone, even the tables of the covenant which the LORD made with you, then I abode in the mount forty days and forty nights; I did neither eat bread nor drink water.",water eat water eat neither eat drink,,,Deuteronomy 9:9 (RV),sn83004226/1909-01-08/ed-1/seq-7/,3,0.098,0.012,0,chronam
"Let them not say in their heart, Aha, so would we have it: Let them not say, We have swallowed him up.",say let let heart heart,,,Psalm 35:25 (ASV),sn85042405/1916-08-10/ed-1/seq-3/,3,0.188,0.019,0,chronam
"But as for me, this secret is not revealed to me for any wisdom that I have more than any living, but for their sakes that shall make known the interpretation to the king, and that thou mightest know the thoughts of thy heart.",make make make living king know know known make known make known known,,,Daniel 2:30 (KJV),sn85029677/1901-11-27/ed-1/seq-4/,3,0.114,0.012,0.459,chronam
"And say: If we had been in the days of our Fathers, we would not have been partakers with them in the blood of the prophets.",days say say days,,,Matthew 23:30 (Douay-Rheims),sn87093056/1899-12-27/ed-1/seq-1/,3,0.205,0.021,0,chronam
"Yea, verily, verily I say unto you, if all men had been, and were, and ever would be, like unto Moroni, behold, the very powers of hell would have been shaken forever; yea, the devil would never have power over the hearts of the children of men.",ever never never ever never never men ever unto like never men never never never ever never children like never like ever men children never like never never say never never say children like men,,,Alma 48:17,sn82016014/1906-01-05/ed-1/seq-4/,3,0.076,0.008,0,chronam
"And he said to him, Go, I pray thee, see whether it be well with thy brethren, and well with the flocks; and bring me word again. So he sent him out of the vale of Hebron, and he came to Shechem.",sent said well well said well well said came well said said well well see well thy said see see came said see said said said well said go go came said thy said see said came came said said came said whether came thy go see whether whether see said came thy said came see go go go go thy well,,,Genesis 37:14 (KJV),sn94052364/1882-07-15/ed-1/seq-1/,3,0.132,0.012,0,chronam
"Receive us. We have injured no man, we have corrupted no man, we have overreached no man.",man man receive receive man receive man,,,2 Corinthians 7:2 (Douay-Rheims),sn83045462/1889-09-16/ed-1/seq-3/,3,0.164,0.021,0.001,chronam
"forbearing one another, and forgiving each other, if any man have a complaint against any; even as the Lord forgave you, so also do ye:",one another one another man one even man one even one also,,,Colossians 3:13 (ASV),sn95047222/1913-11-06/ed-1/seq-6/,3,0.178,0.017,0.32,chronam
"And it shall come to pass, if ye shall hearken diligently unto my commandments which I command you this day, to love Jehovah your God, and to serve him with all your heart and with all your soul,",day shall shall shall shall come command come pass day day,,,Deuteronomy 11:13 (ASV),sn86091095/1890-04-12/ed-1/seq-2/,3,0.1,0.012,0.431,chronam
There are those who have sought occasion against him without cause;,sought cause cause without occasion occasion occasion without occasion without without without without without without without without without without cause cause,,,Doctrine and Covenants 64:6,sn82014064/1869-01-26/ed-1/seq-2/,3,0.401,0.05,0,chronam
"And it shall be fulfilled upon you in that day that you shall have right to preach my gospel wheresoever I shall send you, from henceforth from that time.",time right shall shall right shall shall shall shall shall upon shall shall right shall shall right day shall shall shall right shall shall shall shall shall shall shall day shall shall shall shall shall shall day time time time day right time time right upon upon upon,,,Doctrine and Covenants 108:6,sn89066129/1911-06-23/ed-1/seq-4/,3,0.238,0.025,0,chronam
"So likewise ye, when ye shall have done all those things which are commanded you, say, We are unprofitable servants: we have done that which was our duty to do.",done done done done shall say duty shall done say things things say things,,,Luke 17:10 (KJV),sn84022472/1917-12-14/ed-1/seq-17/,3,0.111,0.014,0,chronam
"And when he had said this, he breathed on them, and saith unto them, Receive ye the Holy Ghost:",holy said receive said receive,,,John 20:22 (RV),sn86086284/1876-08-13/ed-1/seq-4/,3,0.262,0.031,0,chronam
"Receive us; we have wronged no man, we have corrupted no man, we have defrauded no man.",man man us us man man man man man man man man man us,,,2 Corinthians 7:2 (KJV),sn88077067/1910-10-07/ed-1/seq-1/,3,0.191,0.021,0.032,chronam
"Whom I know not whether he will be a wise man or a fool, and he shall have rule over all my labours with which I have laboured and been solicitous: and is there any thing so vain?",know shall shall know shall shall thing man know whether man man man thing thing thing man man man whether man man man rule man man know know man wise,,,Ecclesiastes 2:19 (Douay-Rheims),sn86079018/1875-01-24/ed-1/seq-8/,3,0.132,0.014,0,chronam
"And the suburbs of the city shall be toward the north two hundred and fifty, and toward the south two hundred and fifty, and toward the east two hundred and fifty, and toward the west two hundred and fifty.",south south south city city city east south city city south two two south two east city two two two city east city two city city south two two city north south city two south south city city city city city city city two city two south two city city north two south city south city city city south south two south north south east west south south south city city two east two south south,,,Ezekiel 48:17 (KJV),sn87055779/1914-07-16/ed-1/seq-10/,3,0.347,0.036,0.001,chronam
"But meat will not commend us to God: neither, if we eat not, are we the worse; nor, if we eat, are we the better.",us us us us us better us,,,1 Corinthians 8:8 (RV),sn83030214/1909-10-10/ed-1/seq-68/,3,0.167,0.019,0.003,chronam
"For I fear, lest by any means, when I come, I should find you not such as I would, and should myself be found of you such as ye would not; lest by any means there should be strife, jealousy, wraths, factions, backbitings, whisperings, swellings, tumults;",come come means found find come found fear,,,2 Corinthians 12:20 (RV),sn85038115/1852-01-07/ed-1/seq-2/,3,0.098,0.01,0.91,chronam
"And he also testified unto the people that all mankind should be saved at the last day, and that they need not fear nor tremble, but that they might lift up their heads and rejoice; for the Lord had created all men, and had also redeemed all men; and, in the end, all men should have eternal life.",life life last day day also end end last lord might might need need might men rejoice day life might day day last also life last last day day men day people people people might life men also life life life life need last day people day,,,Alma 1:4,sn86053488/1883-12-29/ed-1/seq-7/,3,0.082,0.008,0.688,chronam
"And charity suffereth long, and is kind, and envieth not, and is not puffed up, seeketh not her own, is not easily provoked, thinketh no evil, and rejoiceth not in iniquity but rejoiceth in the truth, beareth all things, believeth all things, hopeth all things, endureth all things.",things things,,,Moroni 7:45,sn84024808/1919-11-24/ed-1/seq-11/,3,0.064,0.008,0.328,chronam
"John said unto him, Teacher, we saw one casting out demons in thy name; and we forbade him, because he followed not us.",said us us us said one name one one one said name said said said said said said one one said us name said us one said said said said one followed us said name said us one one one one one one one one said said one one one said said saw said saw said,,,Mark 9:38 (ASV),sn86088296/1893-10-26/ed-1/seq-6/,3,0.153,0.017,0.391,chronam
"Do ye suppose that our fathers would have been more choice than they if they had been righteous? I say unto you, Nay.",say say suppose,,,1 Nephi 17:34,sn83045396/1912-01-02/ed-1/seq-6/,3,0.19,0.021,0,chronam
"And when the prince is to go in, let him go in by the way of the porch of the gate, and let him go out the same way.",go go go way go go go let way let go go way go,,,Ezekiel 46:8 (Douay-Rheims),sn84023127/1836-04-08/ed-1/seq-2/,3,0.186,0.023,0,chronam
"Therefore it is come to pass, that as he cried, and they would not hear; so they cried, and I would not hear, saith the LORD of hosts:",pass therefore therefore come pass pass,,,Zechariah 7:13 (KJV),sn83016926/1880-02-25/ed-1/seq-2/,3,0.233,0.023,0,chronam
"For even when we were come into Macedonia our flesh had no relief, but we were afflicted on every side; without were fightings, within were fears.",every within come without every within relief even,,,2 Corinthians 7:5 (ASV),sn85047084/1907-05-23/ed-1/seq-3/,3,0.108,0.014,0,chronam
"Only he shall not multiply horses to himself, nor cause the people to return to Egypt, to the end that he may multiply horses; forasmuch as Jehovah hath said unto you, Ye shall henceforth return no more that way.",cause cause cause cause cause said may way said unto ye shall ye shall ye shall said end way people way said said said,,,Deuteronomy 17:16 (ASV),sn86053688/1849-11-22/ed-1/seq-2/,3,0.078,0.011,0,chronam
"And the elders of his house arose, and stood beside him, to raise him up from the earth: but he would not, neither did he eat bread with them.",house raise bread,,,2 Samuel 12:17 (RV),sn85038102/1894-11-16/ed-1/seq-2/,3,0.199,0.019,0.146,chronam
"And now, little children, abide in him; that, when he shall appear, we may have confidence, and not be ashamed before him at his coming.",coming may may may may now coming now shall shall now shall now may shall shall shall now little confidence may may now now may shall may shall now children little may now now children may shall now now children now,,,1 John 2:28 (KJV),sn84024738/1875-01-02/ed-1/seq-2/,3,0.182,0.019,0,chronam
"Which had been some time incredulous, when they waited for the patience of God in the days of Noe, when the ark was a building: wherein a few, that is, eight souls, were saved by water.",water time time time time time days patience time time water days days days building building time time days,,,1 Peter 3:20 (Douay-Rheims),sn84024738/1853-06-10/ed-1/seq-2/,3,0.159,0.015,0,chronam
"Otherwise they should be destroyed, and all his household save it were himself. And he should only live to see the fulfilling of the prophecies which had been spoken concerning another people receiving the land for their inheritance; and Coriantumr should receive a burial by them; and every soul should be destroyed save it were Coriantumr.",every save save,,,Ether 13:21,sn83045389/1918-11-03/ed-1/seq-41/,3,0.056,0.008,0,chronam
"And it came to pass that after the more popular part of the Zoramites had consulted together concerning the words which had been preached unto them, they were angry because of the word, for it did destroy their craft; therefore they would not hearken unto the words.",pass part word words words preached preached preached part part part together words pass popular part words came word words popular,,,Alma 35:3,sn90059522/1893-04-18/ed-1/seq-8/,3,0.067,0.009,0,chronam
I have more understanding than all my teachers: for thy testimonies are my meditation.,,,,Psalm 119:99 (KJV),sn86069675/1891-09-29/ed-1/seq-6/,3,0.435,0.05,0.001,chronam
"O generation, see ye the word of the LORD. Have I been a wilderness unto Israel? a land of darkness? wherefore say my people, We are lords; we will come no more unto thee?",o o people land land land o land land land word say say come come word land come land come land word unto unto see lord word o,,,Jeremiah 2:31 (KJV),sn89058248/1888-08-16/ed-1/seq-1/,3,0.141,0.014,0,chronam
"Whoso killeth any person, the murderer shall be slain at the mouth of witnesses: but one witness shall not testify against any person that he die.",mouth shall shall shall person shall one shall one shall one shall shall shall shall shall shall shall person shall shall shall one one shall shall shall shall person shall shall one shall one person shall shall shall shall shall one shall witness person shall shall person shall shall shall shall one person shall one one one person one one shall person shall shall one shall person shall person shall person shall person person shall shall shall one shall one shall person shall shall shall person shall one shall shall shall person witnesses witnesses person shall person shall shall shall person shall shall shall shall shall shall shall shall shall person shall shall shall shall person shall shall shall shall shall shall shall shall shall shall shall shall shall shall shall shall shall shall shall shall one shall one shall shall shall person shall person shall shall shall shall shall shall shall shall one shall shall shall shall shall shall shall shall shall shall shall shall shall shall shall one one shall one shall shall one one shall shall one shall shall shall shall one shall one shall one shall one shall one shall shall shall shall shall shall shall one shall shall shall shall shall shall shall shall shall shall shall shall shall shall shall shall shall shall shall shall shall shall shall shall shall shall shall shall shall one shall shall shall shall shall shall shall shall shall shall shall shall shall shall shall shall one one one,,,Numbers 35:30 (ASV),sn84026259/1873-12-04/ed-1/seq-2/,3,0.175,0.018,0.984,chronam
And verily mine eyes are upon those who have not as yet gone up unto the land of Zion; wherefore your mission is not yet full.,land gone eyes upon upon yet full yet upon land upon upon upon land upon upon full upon mission,,,Doctrine and Covenants 62:2,sn84024738/1858-05-08/ed-1/seq-1/,3,0.128,0.016,0,chronam
"And now behold, if it were possible that our first parents could have gone forth and partaken of the tree of life they would have been forever miserable, having no preparatory state; and thus the plan of redemption would have been frustrated, and the word of God would have been void, taking none effect.",now possible plan effect none now thus now thus now now first effect now now first state first first life life word now now now first first taking behold now now,,,Alma 12:26,sn83045211/1917-04-25/ed-1/seq-14/,3,0.059,0.007,0.005,chronam
"And she said, No man, Lord. And Jesus said, Neither do I condemn thee: go thy way; from henceforth sin no more.",man man man man man man man man man man man man man go way sin go way,,,John 8:11 (ASV),sn92053934/1913-01-13/ed-1/seq-5/,3,0.22,0.021,0,chronam
"Excepting women and children, cattle and other things, that are in the city. And thou shalt divide all the prey to the army, and thou shalt eat the spoils of thy enemies, which the Lord thy God shall give thee.",lord god give thee thou thee thee thee thee thee thy city city eat city things shall children city divide,,,Deuteronomy 20:14 (Douay-Rheims),sn88086023/1907-05-20/ed-1/seq-4/,3,0.094,0.011,0.16,chronam
"However, it was nevertheless a fact that I had beheld a vision. I have thought since, that I felt much like Paul, when he made his defense before King Agrippa, and related the account of the vision he had when he saw a light, and heard a voice; but still there were but few who believed him; some said he was dishonest, others said he was mad; and he was ridiculed and reviled. But all this did not destroy the reality of his vision. He had seen a vision, he knew he had, and all the persecution under heaven could not make it otherwise; and though they should persecute him unto death, yet he knew, and would know to his latest breath, that he had both seen a light and heard a voice speaking unto him, and all the world could not make him think or believe otherwise.",fact made said account said make said thought make king king king otherwise account however believed however made said paul paul however fact however still yet said made yet still yet seen make fact felt made said much much make made,,,Joseph Smith--History 1:24,sn86063823/1906-02-24/ed-1/seq-1/,3,0.03,0.003,0,chronam
"And the Philistines were humbled, and they did not come any more into the borders of Israel. And the hand of the Lord was against the Philistines, all the days of Samuel.",days hand hand hand days days days days days days come come come come come come come come come come come come come hand come come hand come come hand days days come come days come hand come come days days days,,,1 Samuel 7:13 (Douay-Rheims),sn85033386/1869-12-03/ed-1/seq-1/,3,0.148,0.019,0,chronam
"Wherefore I spake unto them, saying: Hear ye the words of the prophet, ye who are a remnant of the house of Israel, a branch who have been broken off; hear ye the words of the prophet, which were written unto all the house of Israel, and liken them unto yourselves, that ye may have hope as well as your brethren from whom ye have been broken off; for after this manner has the prophet written.",may hope house may may well well,,,1 Nephi 19:24,sn83045433/1912-10-13/ed-1/seq-14/,3,0.043,0.005,0,chronam
"and ye have done evil more than your fathers; for, behold, ye walk every one after the stubbornness of his evil heart, so that ye hearken not unto me:",one every one every every one done every done done one one done one every every every,,,Jeremiah 16:12 (ASV),sn83007465/1918-10-01/ed-1/seq-8/,3,0.136,0.013,0.08,chronam
"That which was from the beginning, which we have heard, which we have seen with our eyes, which we have looked upon, and our hands have handled, of the word of life:",life seen handled seen,,,1 John 1:1 (Douay-Rheims),sn85026455/1881-11-19/ed-1/seq-4/,3,0.097,0.013,0,chronam
"But if we would judge ourselves, we should not be judged.",,,,1 Corinthians 11:31 (Douay-Rheims),sn83025733/1886-12-06/ed-1/seq-2/,3,0.437,0.05,0,chronam
"In the mean time some men of Joab's company stopping at the dead body of Amasa, said: Behold he that would have been in Joab's stead the companion of David.",time said said said said said said said company men company company men company company company time said said said body body company said said said company company body company said said time company mean time men said said said said said men said said men body,,,2 Samuel 20:11 (Douay-Rheims),sn83030214/1905-12-28/ed-1/seq-1/,3,0.157,0.017,0,chronam
