reference,verse,url,match,likely,most_unusual_phrase,token_count,proportion,tfidf,page
Ezra 2:4 (KJV),"The children of Shephatiah, three hundred seventy and two.",http://chroniclingamerica.loc.gov/lccn/sn84026536/1868-11-27/ed-1/seq-1/#words=children+shephatiah+three+hundred+seventy+two,FALSE,yes,three hundred seventy,2,0.2,1.77472362,sn84026536/1868-11-27/ed-1/seq-1/
Jeremiah 48:4 (KJV),Moab is destroyed; her little ones have caused a cry to be heard.,http://chroniclingamerica.loc.gov/lccn/sn99063954/1893-08-21/ed-1/seq-3/#words=moab+destroyed+little+ones+caused+cry+heard,FALSE,possibly,little ones have,1,0.0555555556,0.5347587109,sn99063954/1893-08-21/ed-1/seq-3/
Matthew 8:8 (KJV),"The centurion answered and said, Lord, I am not worthy that thou shouldest come under my roof: but speak the word only, and my servant shall be healed.",http://chroniclingamerica.loc.gov/lccn/sn84036012/1898-01-10/ed-1/seq-3/#words=centurion+answered+said+lord+i+am+worthy+thou+shouldest+come+under+my+roof+speak+word+only+my+servant+shall+healed,FALSE,no,am not worthy,1,0.0151515152,0.1230542333,sn84036012/1898-01-10/ed-1/seq-3/
Psalm 116:2 (KJV),"Because he hath inclined his ear unto me, therefore will I call upon him as long as I live.",http://chroniclingamerica.loc.gov/lccn/sn88064122/1910-06-11/ed-1/seq-5/#words=because+hath+inclined+ear+unto+me+therefore+i+call+upon+long+i+live,FALSE,no,as long as,1,0.0238095238,0.1690459084,sn88064122/1910-06-11/ed-1/seq-5/
1 Chronicles 9:24 (KJV),"In four quarters were the porters, toward the east, west, north, and south.",http://chroniclingamerica.loc.gov/lccn/sn90059522/1884-03-22/ed-1/seq-6/#words=four+quarters+were+porters+toward+east+west+north+south,FALSE,possibly,east west north south,3,0.0681818182,1.312589563,sn90059522/1884-03-22/ed-1/seq-6/
Psalm 73:14 (KJV),"For all the day long have I been plagued, and chastened every morning.",http://chroniclingamerica.loc.gov/lccn/sn83030193/1887-10-10/ed-1/seq-3/#words=all+day+long+i+been+plagued+chastened+every+morning,FALSE,possibly,day long have,3,0.1136363636,1.184142598,sn83030193/1887-10-10/ed-1/seq-3/
Luke 12:44 (KJV),"Of a truth I say unto you, that he will make him ruler over all that he hath.",http://chroniclingamerica.loc.gov/lccn/sn93067976/1852-01-16/ed-1/seq-2/#words=truth+i+say+unto+you+make+ruler+over+all+hath,FALSE,yes,him ruler over,6,0.2727272727,2.429645501,sn93067976/1852-01-16/ed-1/seq-2/
Mark 8:21 (KJV),"And he said unto them, How is it that ye do not understand?",http://chroniclingamerica.loc.gov/lccn/sn83032199/1877-01-17/ed-1/seq-2/#words=said+unto+how+ye+understand,FALSE,possibly,do not understand,1,0.0588235294,0.5423642169,sn83032199/1877-01-17/ed-1/seq-2/
1 Thessalonians 1:8 (KJV),"For from you sounded out the word of the Lord not only in Macedonia and Achaia, but also in every place your faith to God-ward is spread abroad; so that we need not to speak any thing.",http://chroniclingamerica.loc.gov/lccn/sn86072143/1876-06-30/ed-1/seq-2/#words=you+sounded+out+word+lord+only+macedonia+achaia+also+every+place+your+faith+god+ward+spread+abroad+so+we+need+speak+any+thing,FALSE,no,we need not,1,0.003875969,0.1119262418,sn86072143/1876-06-30/ed-1/seq-2/
Matthew 26:72 (KJV),"And again he denied with an oath, I do not know the man.",http://chroniclingamerica.loc.gov/lccn/sn85025584/1858-06-24/ed-1/seq-1/#words=again+denied+oath+i+know+man,FALSE,possibly,do not know,2,0.0714285714,1.276072802,sn85025584/1858-06-24/ed-1/seq-1/
Hebrews 1:4 (KJV),"Being made so much better than the angels, as he hath by inheritance obtained a more excellent name than they.",http://chroniclingamerica.loc.gov/lccn/sn86083274/1889-12-13/ed-1/seq-3/#words=being+made+so+much+better+than+angels+hath+inheritance+obtained+more+excellent+name+than,FALSE,no,being made so,1,0.0108695652,0.2092534086,sn86083274/1889-12-13/ed-1/seq-3/
Hebrews 13:9 (KJV),"Be not carried about with divers and strange doctrines. For it is a good thing that the heart be established with grace; not with meats, which have not profited them that have been occupied therein.",http://chroniclingamerica.loc.gov/lccn/sn84026688/1903-09-17/ed-1/seq-4/#words=carried+about+divers+strange+doctrines+good+thing+heart+established+grace+meats+profited+been+occupied+therein,FALSE,no,them have been,1,0.0135135135,0.1300764432,sn84026688/1903-09-17/ed-1/seq-4/
John 5:46 (KJV),"For had ye believed Moses, ye would have believed me: for he wrote of me.",http://chroniclingamerica.loc.gov/lccn/sn84026912/1921-01-26/ed-1/seq-3/#words=had+ye+believed+moses+ye+would+believed+me+wrote+me,TRUE,yes,ye would have believed,22,0.7333333333,7.04529948,sn84026912/1921-01-26/ed-1/seq-3/
Nehemiah 7:12 (KJV),"The children of Elam, a thousand two hundred fifty and four.",http://chroniclingamerica.loc.gov/lccn/sn86053696/1881-07-16/ed-1/seq-4/#words=children+elam+thousand+two+hundred+fifty+four,FALSE,no,two hundred fifty,1,0.0357142857,0.5538467585,sn86053696/1881-07-16/ed-1/seq-4/
Ezekiel 48:17 (KJV),"And the suburbs of the city shall be toward the north two hundred and fifty, and toward the south two hundred and fifty, and toward the east two hundred and fifty, and toward the west two hundred and fifty.",http://chroniclingamerica.loc.gov/lccn/sn84024518/1852-04-10/ed-1/seq-2/#words=suburbs+city+shall+toward+north+two+hundred+fifty+toward+south+two+hundred+fifty+toward+east+two+hundred+fifty+toward+west+two+hundred+fifty,FALSE,possibly,two hundred fifty,4,0.0512820513,0.3976335702,sn84024518/1852-04-10/ed-1/seq-2/
2 Samuel 24:13 (KJV),"So Gad came to David, and told him, and said unto him, Shall seven years of famine come unto thee in thy land? or wilt thou flee three months before thine enemies, while they pursue thee? or that there be three days' pestilence in thy land? now advise, and see what answer I shall return to him that sent me.",http://chroniclingamerica.loc.gov/lccn/sn85025431/1898-11-23/ed-1/seq-8/#words=so+gad+came+david+told+said+unto+shall+seven+years+famine+come+unto+thee+thy+land+wilt+thou+flee+three+months+before+thine+enemies+while+pursue+thee+three+days+pestilence+thy+land+now+advise+see+what+answer+i+shall+return+sent+me,FALSE,no,three months before,1,0.0063291139,0.0609218785,sn85025431/1898-11-23/ed-1/seq-8/
Genesis 31:49 (KJV),"And Mizpah; for he said, The LORD watch between me and thee, when we are absent one from another.",http://chroniclingamerica.loc.gov/lccn/sn83035565/1913-11-27/ed-1/seq-3/#words=mizpah+said+lord+watch+between+me+thee+when+we+absent+one+another,TRUE,yes,we absent one from,34,0.8947368421,8.552501679,sn83035565/1913-11-27/ed-1/seq-3/
Isaiah 40:8 (KJV),"The grass withereth, the flower fadeth: but the word of our God shall stand for ever.",http://chroniclingamerica.loc.gov/lccn/sn97067613/1889-08-29/ed-1/seq-4/#words=grass+withereth+flower+fadeth+word+our+god+shall+stand+ever,TRUE,yes,god shall stand,6,0.2307692308,2.152391589,sn97067613/1889-08-29/ed-1/seq-4/
John 10:1 (KJV),"Verily, verily, I say unto you, He that entereth not by the door into the sheepfold, but climbeth up some other way, the same is a thief and a robber.",http://chroniclingamerica.loc.gov/lccn/sn88056164/1900-12-14/ed-1/seq-2/#words=verily+verily+i+say+unto+you+entereth+door+sheepfold+climbeth+up+some+other+way+same+thief+robber,FALSE,possibly,some other way,7,0.0612244898,1.375093828,sn88056164/1900-12-14/ed-1/seq-2/
Nehemiah 7:17 (KJV),"The children of Azgad, two thousand three hundred twenty and two.",http://chroniclingamerica.loc.gov/lccn/sn83045784/1857-03-28/ed-1/seq-5/#words=children+azgad+two+thousand+three+hundred+twenty+two,FALSE,possibly,three hundred twenty,1,0.0555555556,0.4838536702,sn83045784/1857-03-28/ed-1/seq-5/
1 Chronicles 5:21 (KJV),"And they took away their cattle; of their camels fifty thousand, and of sheep two hundred and fifty thousand, and of asses two thousand, and of men an hundred thousand.",http://chroniclingamerica.loc.gov/lccn/sn85038078/1846-07-23/ed-1/seq-3/#words=took+away+cattle+camels+fifty+thousand+sheep+two+hundred+fifty+thousand+asses+two+thousand+men+hundred+thousand,FALSE,no,two thousand men,1,0.0185185185,0.1654168447,sn85038078/1846-07-23/ed-1/seq-3/
1 Corinthians 9:5 (KJV),"Have we not power to lead about a sister, a wife, as well as other apostles, and as the brethren of the Lord, and Cephas?",http://chroniclingamerica.loc.gov/lccn/sn83030272/1868-09-12/ed-1/seq-1/#words=we+power+lead+about+sister+wife+well+other+apostles+brethren+lord+cephas,FALSE,no,as well as,1,0.0013227513,0.1466834945,sn83030272/1868-09-12/ed-1/seq-1/
Psalm 148:12 (KJV),"Both young men, and maidens; old men, and children:",http://chroniclingamerica.loc.gov/lccn/sn89067274/1886-06-24/ed-1/seq-1/#words=both+young+men+maidens+old+men+children,FALSE,possibly,both young men,1,0.0714285714,0.6585851206,sn89067274/1886-06-24/ed-1/seq-1/
Mark 16:14 (KJV),"Afterward he appeared unto the eleven as they sat at meat, and upbraided them with their unbelief and hardness of heart, because they believed not them which had seen him after he was risen.",http://chroniclingamerica.loc.gov/lccn/sn91066782/1906-06-08/ed-1/seq-1/#words=afterward+appeared+unto+eleven+sat+meat+upbraided+unbelief+hardness+heart+because+believed+had+seen+after+risen,FALSE,no,had seen him,1,0.0135135135,0.1207095894,sn91066782/1906-06-08/ed-1/seq-1/
Matthew 6:13 (KJV),"And lead us not into temptation, but deliver us from evil: For thine is the kingdom, and the power, and the glory, for ever. Amen.",http://chroniclingamerica.loc.gov/lccn/sn86072143/1876-12-01/ed-1/seq-1/#words=lead+us+temptation+deliver+us+evil+thine+kingdom+power+glory+ever+amen,TRUE,yes,glory ever amen,11,0.25,2.443773902,sn86072143/1876-12-01/ed-1/seq-1/
John 3:15 (KJV),"That whosoever believeth in him should not perish, but have eternal life.",http://chroniclingamerica.loc.gov/lccn/sn89066651/1919-12-11/ed-1/seq-29/#words=whosoever+believeth+should+perish+eternal+life,TRUE,yes,him should not,6,0.2727272727,2.488444817,sn89066651/1919-12-11/ed-1/seq-29/
1 Thessalonians 5:21 (KJV),Prove all things; hold fast that which is good.,http://chroniclingamerica.loc.gov/lccn/sn84020714/1884-11-14/ed-1/seq-1/#words=prove+all+things+hold+fast+good,FALSE,possibly,prove all things,1,0.0714285714,0.687546914,sn84020714/1884-11-14/ed-1/seq-1/
Proverbs 29:20 (KJV),Seest thou a man that is hasty in his words? there is more hope of a fool than of him.,http://chroniclingamerica.loc.gov/lccn/sn85025620/1883-05-24/ed-1/seq-4/#words=seest+thou+man+hasty+words+more+hope+fool+than,FALSE,yes,hope fool than him,6,0.2307692308,2.127736543,sn85025620/1883-05-24/ed-1/seq-4/
Matthew 5:29 (KJV),"And if thy right eye offend thee, pluck it out, and cast it from thee: for it is profitable for thee that one of thy members should perish, and not that thy whole body should be cast into hell.",http://chroniclingamerica.loc.gov/lccn/sn84024718/1869-06-29/ed-1/seq-1/#words=thy+right+eye+offend+thee+pluck+out+cast+thee+profitable+thee+one+thy+members+should+perish+thy+whole+body+should+cast+hell,TRUE,yes,not thy whole body,86,1,9.252929353,sn84024718/1869-06-29/ed-1/seq-1/
Ezekiel 24:19 (KJV),"And the people said unto me, Wilt thou not tell us what these things are to us, that thou doest so?",http://chroniclingamerica.loc.gov/lccn/sn85025584/1858-07-22/ed-2/seq-2/#words=people+said+unto+me+wilt+thou+tell+us+what+things+us+thou+doest+so,FALSE,no,tell us what,1,0.0111111111,0.2048931486,sn85025584/1858-07-22/ed-2/seq-2/
1 Timothy 2:12 (KJV),"But I suffer not a woman to teach, nor to usurp authority over the man, but to be in silence.",http://chroniclingamerica.loc.gov/lccn/sn86069867/1899-12-10/ed-1/seq-4/#words=i+suffer+woman+teach+nor+usurp+authority+over+man+silence,TRUE,yes,teach nor usurp authority over,26,1,9.625656796,sn86069867/1899-12-10/ed-1/seq-4/
2 Kings 2:24 (KJV),"And he turned back, and looked on them, and cursed them in the name of the LORD. And there came forth two she bears out of the wood, and tare forty and two children of them.",http://chroniclingamerica.loc.gov/lccn/sn86069867/1899-12-10/ed-1/seq-2/#words=turned+back+looked+cursed+name+lord+came+forth+two+bears+out+wood+tare+forty+two+children,TRUE,yes,two bears out,23,0.3709677419,3.564268407,sn86069867/1899-12-10/ed-1/seq-2/
Psalm 72:5 (KJV),"They shall fear thee as long as the sun and moon endure, throughout all generations.",http://chroniclingamerica.loc.gov/lccn/sn86069620/1897-07-08/ed-1/seq-3/#words=shall+fear+thee+long+sun+moon+endure+throughout+all+generations,FALSE,no,as long as,1,0.0032679739,0.2088214162,sn86069620/1897-07-08/ed-1/seq-3/
Isaiah 12:1 (KJV),"And in that day thou shalt say, O LORD, I will praise thee: though thou wast angry with me, thine anger is turned away, and thou comfortedst me.",http://chroniclingamerica.loc.gov/lccn/sn83032199/1867-10-03/ed-1/seq-4/#words=day+thou+shalt+say+o+lord+i+praise+thee+though+thou+wast+angry+me+thine+anger+turned+away+thou+comfortedst+me,TRUE,yes,anger turned away,24,0.3538461538,3.541612814,sn83032199/1867-10-03/ed-1/seq-4/
John 12:1 (KJV),"Then Jesus six days before the passover came to Bethany, where Lazarus was which had been dead, whom he raised from the dead.",http://chroniclingamerica.loc.gov/lccn/sn85030287/1910-05-19/ed-1/seq-6/#words=jesus+six+days+before+passover+came+bethany+where+lazarus+had+been+dead+whom+raised+dead,FALSE,no,which had been,1,0.0086206897,0.1470180087,sn85030287/1910-05-19/ed-1/seq-6/
Ezra 2:10 (KJV),"The children of Bani, six hundred forty and two.",http://chroniclingamerica.loc.gov/lccn/sn88064122/1910-06-11/ed-1/seq-7/#words=children+bani+six+hundred+forty+two,FALSE,possibly,six hundred forty,1,0.1,0.8932509616,sn88064122/1910-06-11/ed-1/seq-7/
Genesis 23:9 (KJV),"That he may give me the cave of Machpelah, which he hath, which is in the end of his field; for as much money as it is worth he shall give it me for a possession of a buryingplace amongst you.",http://chroniclingamerica.loc.gov/lccn/sn86053634/1882-09-20/ed-1/seq-4/#words=may+give+me+cave+machpelah+hath+end+field+much+money+worth+shall+give+me+possession+buryingplace+amongst+you,FALSE,no,as much money,1,0.0142857143,0.1375093828,sn86053634/1882-09-20/ed-1/seq-4/
Matthew 23:30 (KJV),"And say, If we had been in the days of our fathers, we would not have been partakers with them in the blood of the prophets.",http://chroniclingamerica.loc.gov/lccn/sn85033371/1865-11-24/ed-1/seq-2/#words=say+we+had+been+days+our+fathers+we+would+been+partakers+blood+prophets,FALSE,possibly,would not have been,3,0.0555555556,0.4925870945,sn85033371/1865-11-24/ed-1/seq-2/
John 10:37 (KJV),"If I do not the works of my Father, believe me not.",http://chroniclingamerica.loc.gov/lccn/sn82015015/1842-05-17/ed-1/seq-1/#words=i+works+my+father+believe+me,FALSE,no,if do not,1,0.0151515152,0.3875929322,sn82015015/1842-05-17/ed-1/seq-1/
Job 33:24 (KJV),"Then he is gracious unto him, and saith, Deliver him from going down to the pit: I have found a ransom.",http://chroniclingamerica.loc.gov/lccn/sn85026941/1898-06-03/ed-1/seq-1/#words=gracious+unto+saith+deliver+going+down+pit+i+found+ransom,TRUE,yes,going down pit have found,10,0.2380952381,2.291823047,sn85026941/1898-06-03/ed-1/seq-1/
Hebrews 10:25 (KJV),"Not forsaking the assembling of ourselves together, as the manner of some is; but exhorting one another: and so much the more, as ye see the day approaching.",http://chroniclingamerica.loc.gov/lccn/sn86053954/1852-07-08/ed-1/seq-3/#words=forsaking+assembling+ourselves+together+manner+some+exhorting+one+another+so+much+more+ye+see+day+approaching,FALSE,no,so much more,1,0.0053763441,0.1375329759,sn86053954/1852-07-08/ed-1/seq-3/
Job 31:18 (KJV),"(For from my youth he was brought up with me, as with a father, and I have guided her from my mother's womb;)",http://chroniclingamerica.loc.gov/lccn/sn84024558/1856-06-14/ed-1/seq-1/#words=my+youth+brought+up+me+father+i+guided+my+mother's+womb,FALSE,no,from my youth,1,0.0238095238,0.1828511106,sn84024558/1856-06-14/ed-1/seq-1/
2 Corinthians 13:8 (KJV),"For we can do nothing against the truth, but for the truth.",http://chroniclingamerica.loc.gov/lccn/sn86069675/1921-02-24/ed-1/seq-7/#words=we+can+nothing+against+truth+truth,FALSE,possibly,can do nothing,1,0.0714285714,0.6380364011,sn86069675/1921-02-24/ed-1/seq-7/
Ephesians 4:5 (KJV),"One Lord, one faith, one baptism,",http://chroniclingamerica.loc.gov/lccn/sn84026925/1879-11-27/ed-1/seq-4/#words=one+lord+one+faith+one+baptism,TRUE,yes,lord one faith one baptism,10,0.95,9.625656796,sn84026925/1879-11-27/ed-1/seq-4/
Mark 9:24 (KJV),"And straightway the father of the child cried out, and said with tears, Lord, I believe; help thou mine unbelief.",http://chroniclingamerica.loc.gov/lccn/sn86071197/1894-01-22/ed-1/seq-7/#words=straightway+father+child+cried+out+said+tears+lord+i+believe+help+thou+mine+unbelief,TRUE,yes,lord believe help,10,0.2631578947,2.533067578,sn86071197/1894-01-22/ed-1/seq-7/
2 Kings 20:11 (KJV),"And Isaiah the prophet cried unto the LORD: and he brought the shadow ten degrees backward, by which it had gone down in the dial of Ahaz.",http://chroniclingamerica.loc.gov/lccn/sn86058890/1848-02-22/ed-1/seq-3/#words=isaiah+prophet+cried+unto+lord+brought+shadow+ten+degrees+backward+had+gone+down+dial+ahaz,FALSE,no,had gone down,1,0.0204081633,0.1964419754,sn86058890/1848-02-22/ed-1/seq-3/
Acts 24:9 (KJV),"And the Jews also assented, saying that these things were so.",http://chroniclingamerica.loc.gov/lccn/sn86053634/1882-02-01/ed-1/seq-4/#words=jews+also+assented+saying+things+were+so,FALSE,possibly,things were so,1,0.0714285714,0.6585851206,sn86053634/1882-02-01/ed-1/seq-4/
Luke 11:13 (KJV),"If ye then, being evil, know how to give good gifts unto your children: how much more shall your heavenly Father give the Holy Spirit to them that ask him?",http://chroniclingamerica.loc.gov/lccn/sn88064020/1911-03-16/ed-1/seq-4/#words=ye+being+evil+know+how+give+good+gifts+unto+your+children+how+much+more+shall+your+heavenly+father+give+holy+spirit+ask,TRUE,yes,being evil know,27,0.3,2.736734647,sn88064020/1911-03-16/ed-1/seq-4/
2 Samuel 24:9 (KJV),And Joab gave up the sum of the number of the people unto the king: and there were in Israel eight hundred thousand valiant men that drew the sword; and the men of Judah were five hundred thousand men.,http://chroniclingamerica.loc.gov/lccn/sn86064205/1889-08-10/ed-1/seq-4/#words=joab+gave+up+sum+number+people+unto+king+were+israel+eight+hundred+thousand+valiant+men+drew+sword+men+judah+were+five+hundred+thousand+men,FALSE,no,five hundred thousand,1,0.012195122,0.112441362,sn86064205/1889-08-10/ed-1/seq-4/
1 Samuel 10:15 (KJV),"And Saul's uncle said, Tell me, I pray thee, what Samuel said unto you.",http://chroniclingamerica.loc.gov/lccn/sn86069620/1899-01-26/ed-1/seq-4/#words=saul's+uncle+said+tell+me+i+pray+thee+what+samuel+said+unto+you,FALSE,possibly,tell me pray thee,5,0.1724137931,1.555866524,sn86069620/1899-01-26/ed-1/seq-4/
2 Chronicles 36:21 (KJV),"To fulfil the word of the LORD by the mouth of Jeremiah, until the land had enjoyed her sabbaths: for as long as she lay desolate she kept sabbath, to fulfil threescore and ten years.",http://chroniclingamerica.loc.gov/lccn/sn97065089/1856-06-14/ed-1/seq-1/#words=fulfil+word+lord+mouth+jeremiah+until+land+had+enjoyed+sabbaths+long+lay+desolate+kept+sabbath+fulfil+threescore+ten+years,FALSE,no,as long as,1,0.0047619048,0.101427545,sn97065089/1856-06-14/ed-1/seq-1/
Nehemiah 7:32 (KJV),"The men of Bethel and Ai, an hundred twenty and three.",http://chroniclingamerica.loc.gov/lccn/sn83016474/1840-04-28/ed-1/seq-3/#words=men+bethel+ai+hundred+twenty+three,FALSE,possibly,hundred twenty three,1,0.1,0.8372893828,sn83016474/1840-04-28/ed-1/seq-3/
Ephesians 4:5 (KJV),"One Lord, one faith, one baptism,",http://chroniclingamerica.loc.gov/lccn/sn86071197/1901-12-16/ed-1/seq-6/#words=one+lord+one+faith+one+baptism,TRUE,yes,lord one faith one,6,0.6,5.775394078,sn86071197/1901-12-16/ed-1/seq-6/
Proverbs 4:21 (KJV),Let them not depart from thine eyes; keep them in the midst of thine heart.,http://chroniclingamerica.loc.gov/lccn/sn83016475/1840-11-14/ed-1/seq-2/#words=let+depart+thine+eyes+keep+midst+thine+heart,FALSE,no,let them not,1,0.0294117647,0.2304087449,sn83016475/1840-11-14/ed-1/seq-2/
Mark 1:3 (KJV),"The voice of one crying in the wilderness, Prepare ye the way of the Lord, make his paths straight.",http://chroniclingamerica.loc.gov/lccn/sn86072143/1876-08-25/ed-1/seq-2/#words=voice+one+crying+wilderness+prepare+ye+way+lord+make+paths+straight,TRUE,yes,ye way lord make,14,0.4666666667,4.117798392,sn86072143/1876-08-25/ed-1/seq-2/
Matthew 26:9 (KJV),"For this ointment might have been sold for much, and given to the poor.",http://chroniclingamerica.loc.gov/lccn/sn86086633/1912-04-16/ed-1/seq-7/#words=ointment+might+been+sold+much+given+poor,FALSE,possibly,might have been,1,0.0555555556,0.4737246949,sn86086633/1912-04-16/ed-1/seq-7/
1 Samuel 17:40 (KJV),"And he took his staff in his hand, and chose him five smooth stones out of the brook, and put them in a shepherd's bag which he had, even in a scrip; and his sling was in his hand: and he drew near to the Philistine.",http://chroniclingamerica.loc.gov/lccn/sn97067613/1889-08-29/ed-1/seq-4/#words=took+staff+hand+chose+five+smooth+stones+out+brook+put+shepherd's+bag+had+even+scrip+sling+hand+drew+near+philistine,TRUE,possibly,stones out brook put,12,0.1538461538,1.480870276,sn97067613/1889-08-29/ed-1/seq-4/
Judges 20:46 (KJV),So that all which fell that day of Benjamin were twenty and five thousand men that drew the sword; all these were men of valour.,http://chroniclingamerica.loc.gov/lccn/sn93055779/1908-05-30/ed-1/seq-2/#words=so+all+fell+day+benjamin+were+twenty+five+thousand+men+drew+sword+all+were+men+valour,FALSE,no,were twenty five,1,0.0185185185,0.1782529036,sn93055779/1908-05-30/ed-1/seq-2/
Deuteronomy 31:13 (KJV),"And that their children, which have not known any thing, may hear, and learn to fear the LORD your God, as long as ye live in the land whither ye go over Jordan to possess it.",http://chroniclingamerica.loc.gov/lccn/sn83045784/1863-07-16/ed-1/seq-4/#words=children+known+any+thing+may+hear+learn+fear+lord+your+god+long+ye+live+land+whither+ye+go+over+jordan+possess,FALSE,no,as long as,1,0.0016051364,0.0797744736,sn83045784/1863-07-16/ed-1/seq-4/
Acts 11:19 (KJV),"Now they which were scattered abroad upon the persecution that arose about Stephen travelled as far as Phenice, and Cyprus, and Antioch, preaching the word to none but unto the Jews only.",http://chroniclingamerica.loc.gov/lccn/sn88064175/1877-06-09/ed-1/seq-1/#words=now+were+scattered+abroad+upon+persecution+arose+about+stephen+travelled+far+phenice+cyprus+antioch+preaching+word+none+unto+jews+only,FALSE,no,as far as,1,0.0128205128,0.1056328517,sn88064175/1877-06-09/ed-1/seq-1/
Luke 8:8 (KJV),"And other fell on good ground, and sprang up, and bare fruit an hundredfold. And when he had said these things, he cried, He that hath ears to hear, let him hear.",http://chroniclingamerica.loc.gov/lccn/sn94052364/1890-08-30/ed-1/seq-4/#words=other+fell+good+ground+sprang+up+bare+fruit+hundredfold+when+had+said+things+cried+hath+ears+hear+let+hear,FALSE,no,when had said,1,0.0151515152,0.1230542333,sn94052364/1890-08-30/ed-1/seq-4/
Ezra 2:5 (KJV),"The children of Arah, seven hundred seventy and five.",http://chroniclingamerica.loc.gov/lccn/sn84038125/1876-03-03/ed-1/seq-3/#words=children+arah+seven+hundred+seventy+five,FALSE,possibly,hundred seventy five,1,0.1,0.9220191688,sn84038125/1876-03-03/ed-1/seq-3/
Revelation 10:4 (KJV),"And when the seven thunders had uttered their voices, I was about to write: and I heard a voice from heaven saying unto me, Seal up those things which the seven thunders uttered, and write them not.",http://chroniclingamerica.loc.gov/lccn/sn97067589/1910-02-11/ed-1/seq-4/#words=when+seven+thunders+had+uttered+voices+i+about+write+i+heard+voice+heaven+saying+unto+me+seal+up+those+things+seven+thunders+uttered+write,FALSE,possibly,from heaven saying unto me,14,0.1573033708,1.379954602,sn97067589/1910-02-11/ed-1/seq-4/
Philippians 4:7 (KJV),"And the peace of God, which passeth all understanding, shall keep your hearts and minds through Christ Jesus.",http://chroniclingamerica.loc.gov/lccn/sn85042907/1911-05-20/ed-1/seq-2/#words=peace+god+passeth+all+understanding+shall+keep+your+hearts+minds+through+christ+jesus,TRUE,yes,all understanding shall keep,13,0.3095238095,2.953212525,sn85042907/1911-05-20/ed-1/seq-2/
Matthew 11:23 (KJV),"And thou, Capernaum, which art exalted unto heaven, shalt be brought down to hell: for if the mighty works, which have been done in thee, had been done in Sodom, it would have remained until this day.",http://chroniclingamerica.loc.gov/lccn/sn89058370/1887-10-05/ed-1/seq-3/#words=thou+capernaum+art+exalted+unto+heaven+shalt+brought+down+hell+mighty+works+been+done+thee+had+been+done+sodom+would+remained+until+day,FALSE,no,which have been,1,0.0034013605,0.0854376921,sn89058370/1887-10-05/ed-1/seq-3/
Romans 8:32 (KJV),"He that spared not his own Son, but delivered him up for us all, how shall he not with him also freely give us all things?",http://chroniclingamerica.loc.gov/lccn/sn94060041/1894-05-12/ed-1/seq-1/#words=spared+own+son+delivered+up+us+all+how+shall+also+freely+give+us+all+things,TRUE,yes,all how shall not him also,62,0.9919354839,9.597798394,sn94060041/1894-05-12/ed-1/seq-1/
Romans 9:14 (KJV),What shall we say then? Is there unrighteousness with God? God forbid.,http://chroniclingamerica.loc.gov/lccn/sn84028385/1866-02-14/ed-1/seq-1/#words=what+shall+we+say+unrighteousness+god+god+forbid,FALSE,yes,shall we say,7,0.2380952381,2.76511672,sn84028385/1866-02-14/ed-1/seq-1/
Hosea 6:4 (KJV),"O Ephraim, what shall I do unto thee? O Judah, what shall I do unto thee? for your goodness is as a morning cloud, and as the early dew it goeth away.",http://chroniclingamerica.loc.gov/lccn/sn94056446/1908-06-12/ed-1/seq-2/#words=o+ephraim+what+shall+i+unto+thee+o+judah+what+shall+i+unto+thee+your+goodness+morning+cloud+early+dew+goeth+away,FALSE,no,what shall do,2,0.024691358,0.1820830864,sn94056446/1908-06-12/ed-1/seq-2/
Hosea 4:17 (KJV),Ephraim is joined to idols: let him alone.,http://chroniclingamerica.loc.gov/lccn/sn85033429/1869-08-26/ed-1/seq-3/#words=ephraim+joined+idols+let+alone,FALSE,possibly,let him alone,1,0.1,0.8932509616,sn85033429/1869-08-26/ed-1/seq-3/
Ezra 2:4 (KJV),"The children of Shephatiah, three hundred seventy and two.",http://chroniclingamerica.loc.gov/lccn/sn88064328/1913-03-01/ed-1/seq-6/#words=children+shephatiah+three+hundred+seventy+two,FALSE,yes,three hundred seventy two,3,0.2333333333,2.696742788,sn88064328/1913-03-01/ed-1/seq-6/
Proverbs 23:31 (KJV),"Look not thou upon the wine when it is red, when it giveth his colour in the cup, when it moveth itself aright.",http://chroniclingamerica.loc.gov/lccn/sn84024718/1873-03-18/ed-1/seq-1/#words=look+thou+upon+wine+when+red+when+giveth+colour+cup+when+moveth+itself+aright,TRUE,possibly,when red when,3,0.0652173913,0.6277602258,sn84024718/1873-03-18/ed-1/seq-1/
Deuteronomy 11:1 (KJV),"Therefore thou shalt love the LORD thy God, and keep his charge, and his statutes, and his judgments, and his commandments, alway.",http://chroniclingamerica.loc.gov/lccn/sn83016925/1887-03-30/ed-1/seq-4/#words=therefore+thou+shalt+love+lord+thy+god+keep+charge+statutes+judgments+commandments+alway,FALSE,yes,thou shalt love,10,0.2432432432,2.227465199,sn83016925/1887-03-30/ed-1/seq-4/
Mark 14:45 (KJV),"And as soon as he was come, he goeth straightway to him, and saith, Master, master; and kissed him.",http://chroniclingamerica.loc.gov/lccn/sn84026925/1892-05-04/ed-1/seq-4/#words=soon+come+goeth+straightway+saith+master+master+kissed,FALSE,possibly,soon as come,2,0.0606060606,0.5833731392,sn84026925/1892-05-04/ed-1/seq-4/
